Point(135.5972974 34.4998488):1011 
Point(135.5972974 34.4998488)	Point(135.4520136 34.5131898):514 
Point(135.5972974 34.4998488)	Point(139.6623882 36.0656055):515 
Point(135.5972974 34.4998488)	Point(139.6681689 36.0701176):523 
Point(135.5972974 34.4998488)	Point(130.6384926 32.5010333):525 
Point(135.5972974 34.4998488)	Point(135.366139 34.4357717):568 
Point(135.5972974 34.4998488)	Point(135.4580715 34.5435805):601 
Point(135.5972974 34.4998488)	Point(135.2734005 34.3659929):621 
Point(135.5972974 34.4998488)	Point(139.9717795 35.8439578):624 
Point(135.5972974 34.4998488)	Point(135.6284685 34.7119851):630 
Point(140.0196592 40.2107604):1022 
Point(130.6939898 33.89368080000001):1022 
Point(130.6939898 33.89368080000001)	Point(130.8968264 33.9422417):549 
Point(130.6939898 33.89368080000001)	Point(130.850335 33.8863949):572 
Point(130.6939898 33.89368080000001)	Point(130.2527462 33.5854231):614 
Point(130.6939898 33.89368080000001)	Point(130.8293822 33.8952617):617 
Point(130.6939898 33.89368080000001)	Point(130.8293822 33.8952617)	Point(130.8073796 33.9015062):545 
Point(130.6939898 33.89368080000001)	Point(130.8073796 33.9015062):676 
Point(135.4740101 34.6407367):1026 
Point(135.4740101 34.6407367)	Point(135.5018183 34.530998):541 
Point(135.4740101 34.6407367)	Point(135.4321541 34.6312772):609 
Point(135.4740101 34.6407367)	Point(135.4321541 34.6312772)	Point(135.4726219 34.6729017):504 
Point(135.4740101 34.6407367)	Point(135.4910591 34.6227715):609 
Point(135.4740101 34.6407367)	Point(135.4910591 34.6227715)	Point(135.4726219 34.6729017):500 
Point(135.4740101 34.6407367)	Point(135.4721574 34.5939635):626 
Point(135.4740101 34.6407367)	Point(135.4721574 34.5939635)	Point(135.5113011 34.604784):531 
Point(135.4740101 34.6407367)	Point(135.4721574 34.5939635)	Point(135.4726219 34.6729017):535 
Point(135.4740101 34.6407367)	Point(135.5113011 34.604784):653 
Point(135.4740101 34.6407367)	Point(135.5113011 34.604784)	Point(135.4726219 34.6729017):560 
Point(135.4740101 34.6407367)	Point(135.4726219 34.6729017):745 
Point(134.0620291 34.3458351):1034 
Point(134.0620291 34.3458351)	Point(134.8433809 34.727075):500 
Point(134.0620291 34.3458351)	Point(135.5018183 34.530998):505 
Point(134.0620291 34.3458351)	Point(133.3943468 34.4692547):512 
Point(134.0620291 34.3458351)	Point(133.7536465 34.2725045):525 
Point(134.0620291 34.3458351)	Point(133.7401624 34.5278135):525 
Point(134.0620291 34.3458351)	Point(133.7976091 34.2895316):550 
Point(134.0620291 34.3458351)	Point(133.8362679 34.5899827):556 
Point(134.0620291 34.3458351)	Point(133.8099335 34.4693573):557 
Point(134.0620291 34.3458351)	Point(133.7597423 34.5165856):570 
Point(134.0620291 34.3458351)	Point(133.4605487 34.4942837):589 
Point(134.0620291 34.3458351)	Point(133.8171478 34.6075268):703 
Point(139.3886361 36.1473726):1036 
Point(139.3886361 36.1473726)	Point(139.9717795 35.8439578):558 
Point(139.3886361 36.1473726)	Point(139.395017 36.163357):595 
Point(130.6656533 32.6839422):1036 
Point(130.6656533 32.6839422)	Point(130.8163704 32.7914033):514 
Point(130.6656533 32.6839422)	Point(130.7141951 32.7262946):594 
Point(130.6656533 32.6839422)	Point(130.7140311 32.8044066):680 
Point(139.6459029 35.8616328):1037 
Point(139.6459029 35.8616328)	Point(139.6681689 36.0701176):513 
Point(139.6459029 35.8616328)	Point(136.1929755 34.079752):514 
Point(139.6459029 35.8616328)	Point(139.5197372 35.8033447):552 
Point(139.6459029 35.8616328)	Point(139.9717795 35.8439578):572 
Point(132.5264409 33.6256272):1041 
Point(135.6284685 34.7119851):1051 
Point(135.6284685 34.7119851)	Point(139.6623882 36.0656055):501 
Point(135.6284685 34.7119851)	Point(140.0900293 35.5199404):504 
Point(135.6284685 34.7119851)	Point(135.5973071 34.6680742):524 
Point(135.6284685 34.7119851)	Point(135.366139 34.4357717):535 
Point(135.6284685 34.7119851)	Point(139.9717795 35.8439578):544 
Point(135.6284685 34.7119851)	Point(135.2734005 34.3659929):550 
Point(135.6284685 34.7119851)	Point(135.4580715 34.5435805):591 
Point(139.0800942 35.9879187):1052 
Point(139.0800942 35.9879187)	Point(139.5197372 35.8033447):517 
Point(139.0800942 35.9879187)	Point(139.395017 36.163357):531 
Point(139.0800942 35.9879187)	Point(130.6384926 32.5010333):551 
Point(139.0800942 35.9879187)	Point(139.6623882 36.0656055):557 
Point(139.0800942 35.9879187)	Point(139.6681689 36.0701176):585 
Point(139.0800942 35.9879187)	Point(139.9717795 35.8439578):736 
Point(136.6548337 35.0051925):1054 
Point(139.395017 36.163357):1056 
Point(139.395017 36.163357)	Point(139.6623882 36.0656055):545 
Point(139.395017 36.163357)	Point(139.6681689 36.0701176):547 
Point(139.395017 36.163357)	Point(139.9717795 35.8439578):567 
Point(129.9041873 33.2769087):1063 
Point(129.9041873 33.2769087)	Point(130.7140311 32.8044066):567 
Point(129.9041873 33.2769087)	Point(130.2527462 33.5854231):572 
Point(129.9041873 33.2769087)	Point(130.1504313 33.1849969):588 
Point(130.8487826 31.375051):1066 
Point(130.8487826 31.375051)	Point(130.5548872 31.5638531):509 
Point(130.4674218 32.9808242):1069 
Point(130.4674218 32.9808242)	Point(130.7141951 32.7262946):505 
Point(130.4674218 32.9808242)	Point(130.6956394 32.9038019):507 
Point(130.4674218 32.9808242)	Point(130.4671466 33.2544504):507 
Point(130.4674218 32.9808242)	Point(130.5590789 32.9314599):512 
Point(130.4674218 32.9808242)	Point(130.4461332 33.0301519):571 
Point(130.4674218 32.9808242)	Point(130.4349005 33.0344876):598 
Point(130.4674218 32.9808242)	Point(130.7140311 32.8044066):606 
Point(141.4711699 40.5322634):1071 
Point(141.4711699 40.5322634)	Point(140.5781487 39.3100292):526 
Point(134.842399 34.7573094):1079 
Point(134.842399 34.7573094)	Point(133.4605487 34.4942837):503 
Point(134.842399 34.7573094)	Point(133.7401624 34.5278135):507 
Point(134.842399 34.7573094)	Point(134.9715895 34.6485439):508 
Point(134.842399 34.7573094)	Point(135.4910591 34.6227715):508 
Point(134.842399 34.7573094)	Point(135.4726219 34.6729017):510 
Point(134.842399 34.7573094)	Point(133.7597423 34.5165856):561 
Point(134.842399 34.7573094)	Point(135.5018183 34.530998):580 
Point(134.842399 34.7573094)	Point(133.8171478 34.6075268):613 
Point(134.842399 34.7573094)	Point(134.8433809 34.727075):684 
Point(135.4721574 34.5939635):1079 
Point(135.4721574 34.5939635)	Point(134.8433809 34.727075):508 
Point(135.4721574 34.5939635)	Point(135.4580715 34.5435805):510 
Point(135.4721574 34.5939635)	Point(135.4321541 34.6312772):511 
Point(135.4721574 34.5939635)	Point(133.7597423 34.5165856):520 
Point(135.4721574 34.5939635)	Point(133.8171478 34.6075268):524 
Point(135.4721574 34.5939635)	Point(135.5018183 34.530998):640 
Point(135.4721574 34.5939635)	Point(135.5018183 34.530998)	Point(135.5113011 34.604784):528 
Point(135.4721574 34.5939635)	Point(135.4726219 34.6729017):654 
Point(135.4721574 34.5939635)	Point(135.4726219 34.6729017)	Point(135.5113011 34.604784):551 
Point(135.4721574 34.5939635)	Point(135.4910591 34.6227715):667 
Point(135.4721574 34.5939635)	Point(135.4910591 34.6227715)	Point(135.5113011 34.604784):539 
Point(135.4721574 34.5939635)	Point(135.5113011 34.604784):734 
Point(129.2857639 34.2426737):1080 
Point(129.2857639 34.2426737)	Point(129.691157 33.7505959):529 
Point(135.5517687 34.5796757):1081 
Point(135.5517687 34.5796757)	Point(135.5018183 34.530998):523 
Point(130.5555506 33.396427):1089 
Point(130.5555506 33.396427)	Point(130.7140311 32.8044066):538 
Point(129.691157 33.7505959):1090 
Point(129.691157 33.7505959)	Point(130.2527462 33.5854231):525 
Point(131.427765 31.9437073):1097 
Point(130.7535418 32.8482694):1100 
Point(130.7535418 32.8482694)	Point(130.4461332 33.0301519):507 
Point(130.7535418 32.8482694)	Point(130.8163704 32.7914033):566 
Point(130.7535418 32.8482694)	Point(130.8163704 32.7914033)	Point(130.7140311 32.8044066):528 
Point(130.7535418 32.8482694)	Point(130.7141951 32.7262946):573 
Point(130.7535418 32.8482694)	Point(130.7141951 32.7262946)	Point(130.7140311 32.8044066):539 
Point(130.7535418 32.8482694)	Point(130.6956394 32.9038019):583 
